
	ON SECURITY SYSTEM WINDOW 
	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:05:41 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:05:42 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:05:43 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:06:06 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:06:49 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:06:50 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:06:52 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:06:53 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:06:54 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:06:59 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:07:18 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:08:02 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:08:02 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:08:04 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:08:05 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:08:06 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:08:11 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:08:18 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:08:40 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:08:52 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:08:53 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:08:54 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:08:56 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:08:57 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:09:01 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:09:11 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:10:28 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:10:29 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 20:10:32 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:10:33 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:10:34 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:10:35 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:10:37 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:10:37 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:11:08 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:12:18 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:12:19 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:12:21 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:12:22 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:12:22 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 20:12:44 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:12:47 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:13:36 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:13:36 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 20:13:39 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:13:39 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:13:40 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:13:41 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:13:43 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:13:43 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 20:14:01 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:14:03 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:14:57 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:14:58 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:15:01 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:15:02 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:15:03 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 20:15:15 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:15:19 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:15:48 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:15:48 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:15:50 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:15:52 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:15:53 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 20:16:00 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:16:06 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:17:24 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:17:25 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 20:17:28 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:17:28 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:17:47 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:17:48 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 20:18:01 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:18:02 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:18:38 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:18:38 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:18:42 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:18:44 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:19:08 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:19:10 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 20:19:12 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:19:12 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:19:13 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:19:50 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:21:44 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 20:21:49 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:21:49 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:22:00 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:22:01 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:22:02 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:22:03 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:22:04 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 20:22:11 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:22:16 2018

	ON CHANGE QUESTION ANSWER WINDOW 
		Fri Sep 14 20:22:21 2018

	ON HISTORY WINDOW 
		Fri Sep 14 20:22:28 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:25:28 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:38:31 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:38:32 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:38:34 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:38:35 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:38:36 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 20:38:41 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:39:17 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:39:40 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 20:39:41 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 20:39:42 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 20:39:44 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 20:39:45 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 20:39:50 2018

	ON THE MAIN SCRREN
		Fri Sep 14 20:39:52 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:13:09 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:13:10 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:13:12 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:13:12 2018

	ON THE SECRET SCREEN
		Fri Sep 14 22:13:17 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:13:19 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:13:20 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:13:21 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:13:22 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:13:23 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:13:34 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:13:49 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:15:26 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:15:26 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:15:27 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:15:28 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:15:29 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:15:41 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:15:44 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:16:00 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:16:02 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:16:03 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:16:04 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:16:05 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:16:14 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:16:25 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:16:32 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:17:52 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:17:53 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:17:54 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:17:55 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:17:57 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:18:03 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:18:14 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:24:38 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:24:40 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:24:40 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:24:41 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:24:42 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:24:42 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:24:43 2018

	ON THE SECRET SCREEN
		Fri Sep 14 22:24:45 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:24:47 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:24:48 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:24:49 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:24:50 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:24:51 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:25:04 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:25:11 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:25:12 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:25:14 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:25:15 2018

	ON THE SECRET SCREEN
		Fri Sep 14 22:25:19 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:25:21 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:25:22 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:25:23 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:25:24 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:25:25 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:25:33 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:25:42 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:25:46 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:33:27 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:33:27 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:33:30 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:33:31 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:33:32 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:33:32 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:33:34 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:33:34 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:34:00 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:35:02 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:35:45 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:35:46 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:35:47 2018

	ON THE SECRET SCREEN
		Fri Sep 14 22:35:49 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:35:50 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:35:51 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:35:52 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:35:53 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:35:54 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:36:03 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:36:10 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:36:13 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:39:17 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:39:18 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:39:20 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:39:21 2018

	ON THE SECRET SCREEN
		Fri Sep 14 22:39:23 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:39:25 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:39:26 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:39:26 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:39:28 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:39:29 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:39:37 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:40:13 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:40:16 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:41:36 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:41:37 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:41:40 2018

	ON SECURITY SYSTEM WINDOW 
		Fri Sep 14 22:41:42 2018

	ON CHANGE PASSWORD WINDOW 
		Fri Sep 14 22:41:42 2018

	PASSWORD CHANGED THROUGH ADMIN
		Fri Sep 14 22:42:14 2018

	ON THE MODIFICATION WINDOW
		Fri Sep 14 22:42:27 2018

	SEEN THE ITEMS IN THE SHOP
		Fri Sep 14 22:42:29 2018

	ON THE MODIFICATION WINDOW
		Fri Sep 14 22:42:37 2018

	ON THE MODIFICATION WINDOW
		Fri Sep 14 22:43:01 2018

	SEEN THE ITEMS IN THE SHOP
		Fri Sep 14 22:43:02 2018

	ON THE MODIFICATION WINDOW
		Fri Sep 14 22:43:12 2018

	ADDED NEW ITEM IN THE SHOP 
		0 COPIES OF MONITOR
			Fri Sep 14 22:43:13 2018

	ON THE MODIFICATION WINDOW
		Fri Sep 14 22:43:24 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:43:40 2018

	SEEN THE ITEMS IN THE SHOP
		Fri Sep 14 22:43:41 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:43:56 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:43:57 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Sep 14 22:44:00 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:44:00 2018

	ON THE ADMIN PORTAL
		Fri Sep 14 22:44:01 2018

	LOGINED IN THE ADMIN PORTAL
		Fri Sep 14 22:44:05 2018

	ON THE MODIFICATION WINDOW
		Fri Sep 14 22:44:11 2018

	ON THE REMOVING WINDOW
		Fri Sep 14 22:44:13 2018

	ON THE MODIFICATION WINDOW
		Fri Sep 14 22:44:23 2018

	ON THE MAIN SCRREN
		Fri Sep 14 22:44:27 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:46:59 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:47:00 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Sep 19 11:47:04 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:47:05 2018

	ON THE SECRET SCREEN
		Wed Sep 19 11:47:07 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:47:13 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:47:14 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 11:47:20 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:47:25 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 11:47:27 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:47:29 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 11:47:31 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:47:37 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:47:40 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:50:33 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:50:34 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 11:50:39 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:50:41 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 11:50:43 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:50:57 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:50:59 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:51:33 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:51:33 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 11:51:38 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:51:40 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 11:51:41 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:51:49 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:51:51 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:52:05 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:52:07 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 11:52:11 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:52:14 2018

	ON THE ACCOUNT DETAILS WINDOW
		Wed Sep 19 11:52:15 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:52:19 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 11:52:20 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:52:24 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:52:27 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:55:43 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:55:44 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Sep 19 11:55:46 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:55:47 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:55:47 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Sep 19 11:55:48 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:55:48 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:55:49 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Sep 19 11:55:49 2018

	WENT TO ANSWER A QUESTION
		Wed Sep 19 11:55:51 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:56:03 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:56:23 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Sep 19 11:56:24 2018

	WENT TO ANSWER A QUESTION
		Wed Sep 19 11:56:26 2018

	PASSWORD CHANGED THROUGH QUESTION_ANSWER
		Wed Sep 19 11:56:35 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:56:36 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:56:38 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 11:56:38 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:56:39 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 11:56:40 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:56:55 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:56:57 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:57:46 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 11:57:47 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 11:57:47 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:57:48 2018

	ON THE ACCOUNT DETAILS WINDOW
		Wed Sep 19 11:57:49 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:57:51 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 11:57:52 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 11:58:01 2018

	ON THE MAIN SCRREN
		Wed Sep 19 11:58:04 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:01:31 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 12:01:31 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 12:01:32 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:01:32 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 12:01:34 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:01:38 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:01:41 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:03:44 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 12:03:45 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 12:03:45 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:03:47 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 12:03:48 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:04:01 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 12:04:04 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:04:07 2018

	ON TRANSACTION DETAIL WINDOW 
		Wed Sep 19 12:04:08 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:04:10 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:04:12 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:06:23 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 12:06:24 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 12:06:25 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:06:26 2018

	ON THE ACCOUNT DETAILS WINDOW
		Wed Sep 19 12:06:26 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:06:27 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 12:06:28 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:06:35 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:06:40 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:07:07 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 12:07:07 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 12:07:08 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:07:10 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Sep 19 12:07:10 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:07:18 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:07:22 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:13:00 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 12:13:01 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 12:13:01 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:13:02 2018

	DEBITTED MONEY FROM THE ACCOUNT
		Wed Sep 19 12:13:03 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:13:11 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:13:16 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 12:13:16 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 12:13:17 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:13:18 2018

	DEBITTED MONEY FROM THE ACCOUNT
		Wed Sep 19 12:13:19 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:13:32 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:13:37 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:14:23 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 12:14:24 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 12:14:25 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:14:25 2018

	DEBITTED MONEY FROM THE ACCOUNT
		Wed Sep 19 12:14:26 2018

	ON BANK ACCOUNT WINDOW 
		Wed Sep 19 12:14:35 2018

	ON THE MAIN SCRREN
		Wed Sep 19 12:14:38 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:22:31 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Sep 19 19:22:35 2018

	ON THE MAIN SCRREN
		Wed Sep 19 19:23:52 2018

	ON THE ADMIN PORTAL
		Wed Sep 19 19:23:53 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Sep 19 19:23:58 2018

	ON THE MODIFICATION WINDOW
